BlockID,Col,Row,Response,Replicate,DrugRow,DrugCol,ConcRow,ConcCol,ConcRowUnit,ConcColUnit
1,1,6,28.695145,1,ispinesib,ibrutinib,0,50,nM,nM
1,2,6,46.666996,1,ispinesib,ibrutinib,0,12.5,nM,nM
1,3,6,58.82688,1,ispinesib,ibrutinib,0,3.125,nM,nM
1,4,6,118.13851,1,ispinesib,ibrutinib,0,0.7812,nM,nM
1,5,6,103.76006,1,ispinesib,ibrutinib,0,0.1954,nM,nM
1,6,6,122.956184,1,ispinesib,ibrutinib,0,0,nM,nM
2,1,1,13.286711,1,canertinib,ibrutinib,2500,50,nM,nM
2,2,1,33.808582,1,canertinib,ibrutinib,2500,12.5,nM,nM
2,3,1,32.707737,1,canertinib,ibrutinib,2500,3.125,nM,nM
2,4,1,35.68761,1,canertinib,ibrutinib,2500,0.7812,nM,nM
2,5,1,41.0434,1,canertinib,ibrutinib,2500,0.1954,nM,nM
2,6,1,46.980835,1,canertinib,ibrutinib,2500,0,nM,nM
2,1,2,63.878338,1,canertinib,ibrutinib,625,50,nM,nM
2,2,2,121.64903,1,canertinib,ibrutinib,625,12.5,nM,nM
2,3,2,158.4078,1,canertinib,ibrutinib,625,3.125,nM,nM
2,4,2,148.9793,1,canertinib,ibrutinib,625,0.7812,nM,nM
2,5,2,140.63225,1,canertinib,ibrutinib,625,0.1954,nM,nM
2,6,2,151.47575,1,canertinib,ibrutinib,625,0,nM,nM
2,1,3,40.801746,1,canertinib,ibrutinib,156.25,50,nM,nM
2,2,3,100.395256,1,canertinib,ibrutinib,156.25,12.5,nM,nM
2,3,3,148.33612,1,canertinib,ibrutinib,156.25,3.125,nM,nM
2,4,3,135.38275,1,canertinib,ibrutinib,156.25,0.7812,nM,nM
2,5,3,142.65184,1,canertinib,ibrutinib,156.25,0.1954,nM,nM
2,6,3,181.184,1,canertinib,ibrutinib,156.25,0,nM,nM
2,1,4,27.161379,1,canertinib,ibrutinib,39.0626,50,nM,nM
2,2,4,65.10792,1,canertinib,ibrutinib,39.0626,12.5,nM,nM
2,3,4,118.55597,1,canertinib,ibrutinib,39.0626,3.125,nM,nM
2,4,4,156.93535,1,canertinib,ibrutinib,39.0626,0.7812,nM,nM
2,5,4,178.45438,1,canertinib,ibrutinib,39.0626,0.1954,nM,nM
2,6,4,187.23946,1,canertinib,ibrutinib,39.0626,0,nM,nM
2,1,5,26.562283,1,canertinib,ibrutinib,9.7656,50,nM,nM
2,2,5,44.694195,1,canertinib,ibrutinib,9.7656,12.5,nM,nM
2,3,5,97.06703,1,canertinib,ibrutinib,9.7656,3.125,nM,nM
2,4,5,135.2814,1,canertinib,ibrutinib,9.7656,0.7812,nM,nM
2,5,5,136.33353,1,canertinib,ibrutinib,9.7656,0.1954,nM,nM
2,6,5,153.8751,1,canertinib,ibrutinib,9.7656,0,nM,nM
2,1,6,23.027296,1,canertinib,ibrutinib,0,50,nM,nM
2,2,6,31.688921,1,canertinib,ibrutinib,0,12.5,nM,nM
2,3,6,40.31216,1,canertinib,ibrutinib,0,3.125,nM,nM
2,4,6,89.57034,1,canertinib,ibrutinib,0,0.7812,nM,nM
2,5,6,95.24452,1,canertinib,ibrutinib,0,0.1954,nM,nM
2,6,6,115.03824,1,canertinib,ibrutinib,0,0,nM,nM
